Rank,Score,Autonomous Coding Skills,Driver Skills,Team Number,Team Name,Organization,Event Region
1,548,246,302,81777A,Spicy Noodle,Magikid Cupertino Robotics Lab,California - North
2,531,249,282,629Y,Red&Blue,SCBS,East China
3,504,201,303,2988A,Mecha Arbiter,Shanghai Fenghua Junior High School,East China
4,496,213,283,618X,XRaccoon,Minhang Experimental Primary School,East China
5,492,235,257,3988S,Echosong,Irvine Robotics,California - South
6,479,192,287,1512X,Hexagonal Artists,Shanghai Concord Bilingual School,East China
7,471,208,263,478M,Elevate-Mac and Cheese,Elevate Tech,Washington
8,466,203,263,81777X,Cupertino Cheese,Magikid Cupertino Robotics Lab,California - North
9,465,246,219,5571K,Starlight Elves,Qingdao Fuzhou Road Primary School,Middle China
10,464,229,235,6116M,innocence,wankechengxiaoxue,West China
11,461,230,231,3988D,Fried Egg,Irvine Robotics,California - South
12,458,201,257,252S,Sunshine,I Wonder Robotics,Ontario
13,455,218,237,81777B,Chomper,Magikid Cupertino Robotics Lab,California - North
14,454,229,225,65526X,65526x,wankecity,West China
15,454,229,225,33933M,friendship,chaonengshiyanshi,West China
16,454,201,253,81777R,RoboBananas,Magikid Cupertino Robotics Lab,California - North
17,451,201,250,286A,Techno Bananas,Magikid Tustin,California - South
18,448,219,229,97793A,Mecha Masters,HICKS CANYON ELEMENTARY,California - South
19,447,201,246,2675C,Psycho Mouse,Magikid Fremont,California - North
20,441,222,219,6104C,Chicken Buckets,Magikid San Diego,California - South
21,439,236,203,252G,Goodness,I Wonder Robotics,Ontario
22,437,229,208,636M,phoenix,chaonengshiyanshiwanke,West China
23,434,203,231,861A,Speedy Gears,中国农业科学院附属小学,North China
24,434,179,255,13A,Super Heroes,XI'AN GAOXIN EXPERIMENTAL PRIMARY SCHOOL,West China
25,431,230,201,95059A,Saltyfish,Shanghai High School International Division,East China
26,430,229,201,80077A,DFD-A,Dongfengdong Road Primary School(Tian Lun),South China
27,430,201,229,81777Y,Obsidian Drittens,Magikid Cupertino Robotics Lab,California - North
28,429,221,208,99130J,Ace Squad 王牌战队,潘家园科创中心,North China
29,429,190,239,986A,STEMSTAR-Ancient Gear,Shanghai Jincai Hongwen School,East China
30,429,126,303,9199A,STEMSTAR-Super Nuke,Baoshan District  Central Primary School,East China
31,425,175,250,478J,Elevate-478J,Elevate Tech,Washington
32,423,201,222,2675B,The DUCKS,Magikid Fremont,California - North
33,423,190,233,98831K,running boys,STEMSTAR-DaNing,East China
34,423,166,257,2737A,Blazing Bananas,Magikid Robotics Lab Redmond,Washington
35,420,190,230,895A,Pixel Star,NA,California - North
36,419,200,219,5090A,Dragon Team,北京市西城区师范学校附属小学,North China
37,418,201,217,2675F,Air Drone Basis Fremont,Magikid Fremont,California - North
38,416,190,226,838E,End Game,Blaze Robotics Academy,Washington
39,414,213,201,8299B,HZ.Club ,宁波浩泽科技培训有限公司,East China
40,413,128,285,88818A,Homology Alliance,Shanghai International Studies University Shangyang Foreign Language School,East China
41,412,220,192,1132C,RoboHive ACE,虚渊创客工作室,North China
42,412,155,257,839X,// Caution Tape //,Caution Tape Robotics ////,Ontario
43,411,190,221,61666C,Breakfast,Ustar STEM Lab,California - North
44,405,170,235,95133G,Gold Bears,San Jose Robotics Club,California - North
45,405,164,241,182A,AutoMato Robotics,AutoMato Robotics Club,Ontario
46,402,201,201,99291F,JZGC-1,JZGC,South China
47,402,201,201,60666A,Magikid Dream Builders,Magikid Lab,East China
48,402,201,201,636C,hope,chaonengshiyanshi,West China
49,401,190,211,1933M,Maverick Explorers,Shanghai Pinghe School,East China
50,400,192,208,7276X,朱雀IQ2队,Robot.X.Lab.JS,North China
51,398,190,208,62666A,HUA CHUANG Rockets,北京第二实验小学,North China
52,398,190,208,98911E,LittleFish,STEMSTAR-Shanghai,East China
53,398,190,208,98996G,Thunder Dragon,STEMSTAR-Pudong,East China
54,398,179,219,10492W,10492W,上海市教育学会宝山实验学校,East China
55,394,202,192,98226J,创造奇迹队,北京潘家园,North China
56,393,168,225,88788X,Apex Stars,北京未来源科技教育,North China
57,391,203,188,88299B,Science museum 2,Youth Science & Technology Center of Beijing Xicheng,North China
58,391,171,220,15B,Crescent Catastrophe,CRESCENT ELEMENTARY,California - South
59,389,164,225,4010E,◕CSAA◕ Emotional Engineers,CSAAFuture,Ontario
60,389,149,240,38413A,Tech Serpents,N/A,Virginia
61,387,208,179,8588C,QingDao Bymax Team,Qingdao Zhenjiang Road Primary School,Middle China
62,387,179,208,7231G,BASIS International School Shenzhen,BASIS International School Shenzhen,South China
63,384,168,216,95014A,bruh.,STEM Cupertino,California - North
64,384,128,256,8990X,Chronos,Private,California - North
65,382,174,208,94301A,Sandstorm Hedgies,Hoover robotics club,California - North
66,382,179,203,95122H,雷霆之翼,潘家园科技中心,North China
67,380,190,190,99287S,bbtc3,bbtc,South China
68,380,190,190,58051X,杭州二中白马湖教育集团,杭州二中白马湖教育集团,East China
69,379,167,212,897A,Happy Moments,The Second Affiliated School of Fudan University,East China
70,378,177,201,9812W,Wings of Thunder,旧货市场创客实验室,North China
71,376,201,175,88299E,Science museum 5,Youth Science & Technology Center of Beijing Xicheng,North China
72,374,201,173,2276A,robot,Youth Science & Technology Center Of Beijing Xicheng,North China
73,374,110,264,6699U,Super Dragon,Taiwan Robotics Lab,Chinese Taipei
74,373,170,203,58051A,杭州二中白马湖教育集团,杭州二中白马湖教育集团,East China
75,369,180,189,478Z,Elevate-Zero to Hero,Elevate Tech,Washington
76,369,168,201,9452M,Cyber Cookies,M&M,California - South
77,368,153,215,8988P,Penguin,张江高科实验小学&上海中学&福山外国语小学&浦东民办惠立学校联队,East China
78,368,126,242,8966B,Bat,Hangzhou Xuejun Primary School (Qiuzhi Campus),East China
79,363,123,240,6808X,→Southpointe←,Southpointe Academy,British Columbia (BC)
80,360,163,197,2613B,Innov8,The Innovation Story,India
81,357,63,294,69000E,Relax,上海市大宁国际小学,East China
82,356,179,177,838V,Victory,Blaze Robotics Academy,Washington
83,354,164,190,99287G,bbtc,bbtc,South China
84,354,112,242,8282X,Godspeed,GotRobotics,California - South
85,354,135,219,20160M,MINIONS,THCS LY TU TRONG,Vietnam
86,352,112,240,1002C,Dreamers.GC,嘉義喬智創意機器人,Chinese Taipei
87,351,137,214,6885X,Soda Pop,RoboPlanet Burnaby,British Columbia (BC)
88,350,132,218,81067A,81,华南师范大学附属广州大学城小学,South China
89,349,120,229,95133E,Robo Pandas,San Jose STEM,California - North
90,347,168,179,31051X,中国杭州低碳科技馆,"Hangzhou Low Carbon Science and Technology Museum, Hangzhou, China",East China
91,347,146,201,21136B,Gladiators,Magikid Highland Park,Texas - Region 2
92,346,218,128,50009E,LW-E,Guangzhou Liwan Children's Palace,South China
93,346,110,236,8866K,8866K,Xiuzhou Experimental School affiliated to Zhejiang Normal University,East China
94,345,110,235,95133X,NeRdS,San Jose STEM,California - North
95,344,130,214,95111F,Nova Phoenix ,Beijing Haidian District Renbei Experimental School,North China
96,343,173,170,98226W,翱翔吧！孩有翼之队,北京潘家园,North China
97,343,90,253,3668A,Sentient Robotics Club - Hypercharge,Macau Artificial Intelligence Education Center,Macau
98,341,144,197,58766B,Mad Engineers,Omotec,India
99,341,138,203,5004S,MechaCoding S,MechaCoding Academy,South Korea
100,340,110,230,3207F,Fried Chicken,Diamond Bar Robotics,California - South
101,339,138,201,93557Z,Zeus,FusionBot,New York-South
102,339,110,229,9919A,HUA CHUANG Rockets,五路通,North China
103,339,110,229,60065A,Motorized Militia,Motorized Militia,Louisiana
104,337,218,119,1244A,KunLun Lab,昆仑创客,North China
105,336,208,128,8588B,QingDao Bymax Team,Qingdao Laigao Science and Technology Training School,Middle China
106,336,110,226,81777C,Taro Titans,Magikid Cupertino Robotics Lab,California - North
107,335,121,214,839Y,// Caution Tape Y-Stack //,Caution Tape Robotics ////,Ontario
108,335,110,225,69699A,Dehydrated Water,Reddam House,Australia
109,334,222,112,2876A,极光,kb_group,North China
110,334,190,144,765X,RoboHive,RoboHive,North China
111,334,126,208,1311B,西安曲江德闳学校,西安曲江德闳学校,West China
112,334,115,219,295Z,Z-woks,Placer Robotics (PART),California - North
113,333,115,218,5366P,ALCTRON,ALCTRON,South China
114,333,120,213,15678W,Lightning Bots,Redwood Robotics @ Sandpiper School,California - North
115,333,115,218,7835S,Titanium Sharks,J2 Education,California - South
116,331,128,203,1100E,Cosmobots,GRASSY LAKE ELEMENTARY SCHOOL,Florida - North/Central
117,330,127,203,67733A,JoMaker,究匠學教學基地,Chinese Taipei
118,330,112,218,85278A,明瑄华创,明瑄华创瓦力教育科技有限公司,North China
119,329,110,219,17593X,HYPER BOT CNX,Simzone Robotics by ECU=Shop,Thailand
120,329,110,219,61666G,Dinner,Ustar STEM Lab,California - North
121,328,127,201,1686C,西安市曲江第一学校,西安市曲江第一学校,West China
122,328,110,218,2033A,Project Quantum ,Guardians Alliance ,Nevada
123,327,201,126,2675W,IQ 200 Basis Fremont,Magikid Fremont,California - North
124,326,136,190,2613F,CuriousCity,The Innovation Story,India
125,326,134,192,6593B,Stallionbots,Schilling Farms Elementary School,Tennessee
126,324,166,158,6183A,Xi'an  QBZ ,西安高新路小学/陕西省西安小学/西安高新东区小学,West China
127,324,127,197,21404A,Cyber Wizards ,Home Team ,North Carolina
128,324,114,210,21350H,Ravage Riceballs,Trinity Grammar Preparatory School,Australia
129,324,84,240,68039V,IronBots,Trường trung học cơ sở Cầu Giấy,Vietnam
130,323,149,174,372Z,372Z,上海音乐学院实验学校,East China
131,322,121,201,473A,Dragon Botz 2.0,FLAGSTAFF CHARTER ACADEMY,Colorado
132,321,84,237,9699P,Shen Wai International School,Shen Wai International School,South China
133,321,112,209,5877F,Da Potatoes,EDUBOT Inc.,California - South
134,320,201,119,99288W,JZGC-3,JZGC,South China
135,320,141,179,68888A,Anonymous,Shanghai Children`s Library,East China
136,320,110,210,87258A,华创,Beijing Huachuang Vali,North China
137,320,108,212,7323X,7323X,Shanghai Qiu Zhi Primary School,East China
138,319,146,173,683A,RoboHive,RoboHive,North China
139,319,94,225,82823A,Space Explorers,Hungry Rabbits Robotics,Texas - Region 2
140,318,127,191,689A,Tech Wizards,Davis Youth Robotics,California - North
141,318,110,208,4028T,Axolittles,Axolotls Robotics @ Sandpiper School,California - North
142,315,114,201,30707A,GL Robotix,Chickamauga Elementary School,Georgia
143,315,97,218,779G,FA-The Immortal Squad,Futurum Academy Singapore,Singapore
144,314,124,190,838B,Boom,Blaze Robotics Academy,Washington
