Rank,Score,Autonomous Coding Skills,Driver Skills,Team Number,Team Name,Organization,Event Region
1,550,246,304,81777Z,Hot Slice,Magikid Cupertino Robotics Lab,California - North
2,540,247,293,71777A,Vortex-R,Kunshan Xinzhen Middle School,East China
3,511,224,287,727H,Home-field Advantage,Magnus Robotics,Pennsylvania - East
4,494,246,248,8588A,Tsingtao  Bymax Team,The Middle School Affiliated to Qingdao University,Middle China
5,493,208,285,9933X,Cybot-Joy of Creation,Cybot Robotics Academy.,British Columbia (BC)
6,492,201,291,6699W,Velocity Vortex,Taiwan Robotics Lab,Chinese Taipei
7,489,214,275,5491M,HAPPY HIPPO,Fancy Robotics International,Chinese Taipei
8,488,208,280,81777U,Pineapples,Magikid Cupertino Robotics Lab,California - North
9,480,186,294,9156A,Alpha Five,NATIONAL YOUTH INNOVATION FOUNDATION,California - South
10,477,203,274,80608A,Potato Nuggets,El Retiro,California - South
11,476,201,275,8818N,Ctrl X,Roboplanet,British Columbia (BC)
12,472,229,243,636H,courage,chaonengshiyanshi,West China
13,471,219,252,252W,Wonder Why…?,I Wonder Robotics,Ontario
14,465,174,291,6677U,Never Give up,Dr. Player Robotic Lab . Nantou,Chinese Taipei
15,461,185,276,8818S,The Clashers,Roboplanet,British Columbia (BC)
16,454,201,253,81777W,R.I.C.E,Magikid Cupertino Robotics Lab,California - North
17,454,201,253,81777T,Captain IQ,Magikid Cupertino Robotics Lab,California - North
18,454,179,275,839A,// Caution Tape Alpha //,Caution Tape Robotics ////,Ontario
19,452,220,232,1822S,BuZhou Mount,不周山机器人,North China
20,451,203,248,95014X,GaGaGuGu,STEM Cupertino,California - North
21,451,203,248,286B,Blaze,Magikid Tustin,California - South
22,451,149,302,9296A,YouthLink,Shanghai Pinghe Bilingual School QingPu,East China
23,448,229,219,636A,UZI,chaonengshiyanshi,West China
24,447,201,246,46032D,UNITY Robotics,Creekside Middle School,Indiana - Region 2 - Central
25,446,155,291,3668X,Sentient Robotics Club,Macau Artificial Intelligence Education Center,Macau
26,445,185,260,85556A,上海市鲁迅初级中学,上海市鲁迅初级中学,East China
27,440,175,265,839D,// Caution Tape Dill Pickled Ducks //,Caution Tape Robotics ////,Ontario
28,439,190,249,77717A,Vexal,Shanghai World Foreign Education Affiliated Baoshan Meilanhu Experimental School,East China
29,437,190,247,726A,Avenger,Baoshan Experimental School Affiliated to Shanghai Xingzhi Middle School,East China
30,436,201,235,252A,Ascend,I Wonder Nexus,Ontario
31,436,201,235,88299A,Science museum 1,Youth Science & Technology Center of Beijing Xicheng,North China
32,436,190,246,12242A,Warriors,Warriors,Alabama
33,432,208,224,99239X,Gao Xinxia,XI'AN GAOXIN NO. 1 MIDDLE SCHOOL,West China
34,432,167,265,2470Z,the Avocadoes,The Robot,New Jersey
35,432,162,270,27112B,Snow KING,Branch of Beijing Chen Jinglun Middle School,North China
36,429,186,243,45544K,Gao Xinxia,XI'AN GAOXIN NO. 1 MIDDLE SCHOOL South,West China
37,428,182,246,478C,Elevate-Zenith,Elevate Tech,Washington
38,427,201,226,27112A,Beijing Defend-and-Conquer Gold Team,Branch of Beijing Chen Jinglun Middle School,North China
39,426,221,205,9911X,9911X,Mech Studio,North China
40,426,190,236,5679A,Super Terrific Rhinobots,Davis Youth Robotics,California - North
41,426,146,280,8395A,//Caution Tape Avocado//,Caution Tape Toronto ////,Ontario
42,425,179,246,6177D,Pneumatic Krakens,Robotfun Academy,Massachusetts
43,420,201,219,286C,Hotpocket,Magikid Tustin,California - South
44,419,201,218,93601E,CHEESY APPLES,Shore,Australia
45,419,201,218,24250P,VEX Vikings Team Papa,BRENTWOOD MIDDLE SCHOOL,Tennessee
46,418,208,210,5571A,Mind Tacticians,Qingdao No. 26 Middle School,Middle China
47,416,168,248,45318B,Southwood StarBots,SOUTHWOOD MIDDLE SCHOOL,Florida - South
48,412,155,257,22280B,Sticky Rice,Livingston Robotics Club,New Jersey
